id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
18881583,12:43:00 AM,247,2179,4.61,Chip Transaction,92883,Lake Charles,LA,70605,5812,NULL
18881614,12:31:00 AM,285,2156,103.92,Chip Transaction,20561,Watsonville,CA,95076,5912,NULL
18881632,12:52:00 AM,235,1333,25.24,Chip Transaction,87630,New York,NY,10025,5912,NULL
18881642,12:02:00 AM,140,3041,3.49,Chip Transaction,50783,Nashville,TN,37204,5411,NULL
18881688,12:18:00 AM,20,5011,3.24,Chip Transaction,50783,Weatherford,TX,76086,5411,NULL
18881750,12:41:00 AM,161,3096,1.37,Chip Transaction,78454,Waco,TX,76707,5812,NULL
18881783,12:01:00 AM,379,2019,1.4,Chip Transaction,86438,Mobile,AL,36693,5499,NULL
18881804,12:05:00 AM,428,1351,14.46,Chip Transaction,99370,Gilford,NH,3249,5311,NULL
18881828,12:10:00 AM,497,2829,5.9,Chip Transaction,37420,Sioux Falls,SD,57110,5411,NULL
18881902,12:28:00 AM,17,4787,96.3,Online Transaction,9932,ONLINE,NULL,NULL,5311,NULL
18881910,12:29:00 AM,48,5863,-61,Swipe Transaction,43293,Albuquerque,NM,87106,5499,NULL
18881911,12:29:00 AM,112,3470,49.97,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18881912,12:29:00 AM,250,2914,90.37,Chip Transaction,31068,Lyons,OR,97358,8043,NULL
18881927,12:33:00 AM,149,3590,200,Chip Transaction,27092,San Diego,CA,92128,4829,NULL
18881932,12:34:00 AM,112,4398,35.32,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18881965,12:42:00 AM,46,3732,13.32,Chip Transaction,50867,Kew Gardens,NY,11415,5541,NULL
18881967,12:42:00 AM,184,2722,7.87,Chip Transaction,59935,Evansville,WI,53536,5499,NULL
18881968,12:42:00 AM,425,3931,20.01,Chip Transaction,66897,Carmel,CA,93923,4900,NULL
18882012,12:55:00 AM,38,2526,39.85,Online Transaction,50404,ONLINE,NULL,NULL,4784,NULL
18882028,12:59:00 AM,464,3233,44.43,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18882049,12:04:00 AM,128,5048,2.44,Chip Transaction,75936,Houston,TX,77061,5814,NULL
18882084,12:10:00 AM,17,4787,17.88,Chip Transaction,11468,Morganton,NC,28655,5970,NULL
18882191,12:28:00 AM,464,3233,52.02,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
